time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922022248,10.0.3.20,60128,10.0.1.20,5001,3,0.0-5.0,134610944,215377510
20230922022253,10.0.3.20,60128,10.0.1.20,5001,3,5.0-10.0,134742016,215587225
20230922022258,10.0.3.20,60128,10.0.1.20,5001,3,10.0-15.0,134742016,215587225
20230922022303,10.0.3.20,60128,10.0.1.20,5001,3,15.0-20.0,133955584,214328934
20230922022308,10.0.3.20,60128,10.0.1.20,5001,3,20.0-25.0,135397376,216635801
20230922022313,10.0.3.20,60128,10.0.1.20,5001,3,25.0-30.0,135397376,216635801
20230922022318,10.0.3.20,60128,10.0.1.20,5001,3,30.0-35.0,131072000,209715200
20230922022323,10.0.3.20,60128,10.0.1.20,5001,3,35.0-40.0,133300224,213280358
20230922022328,10.0.3.20,60128,10.0.1.20,5001,3,40.0-45.0,135004160,216006656
20230922022333,10.0.3.20,60128,10.0.1.20,5001,3,45.0-50.0,133562368,213699788
20230922022338,10.0.3.20,60128,10.0.1.20,5001,3,50.0-55.0,134742016,215587225
20230922022343,10.0.3.20,60128,10.0.1.20,5001,3,55.0-60.0,134742016,215587225
20230922022348,10.0.3.20,60128,10.0.1.20,5001,3,60.0-65.0,134742016,215587225
20230922022353,10.0.3.20,60128,10.0.1.20,5001,3,65.0-70.0,134742016,215587225
20230922022358,10.0.3.20,60128,10.0.1.20,5001,3,70.0-75.0,133300224,213280358
20230922022403,10.0.3.20,60128,10.0.1.20,5001,3,75.0-80.0,135004160,216006656
20230922022408,10.0.3.20,60128,10.0.1.20,5001,3,80.0-85.0,133431296,213490073
20230922022413,10.0.3.20,60128,10.0.1.20,5001,3,85.0-90.0,136183808,217894092
20230922022418,10.0.3.20,60128,10.0.1.20,5001,3,90.0-95.0,135135232,216216371
20230922022423,10.0.3.20,60128,10.0.1.20,5001,3,95.0-100.0,133300224,213280358
20230922022428,10.0.3.20,60128,10.0.1.20,5001,3,100.0-105.0,134742016,215587225
20230922022433,10.0.3.20,60128,10.0.1.20,5001,3,105.0-110.0,133300224,213280358
20230922022438,10.0.3.20,60128,10.0.1.20,5001,3,110.0-115.0,134742016,215587225
20230922022443,10.0.3.20,60128,10.0.1.20,5001,3,115.0-120.0,134742016,215587225
20230922022443,10.0.3.20,60128,10.0.1.20,5001,3,0.0-120.1,3224633344,214881765
