time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922015144,10.0.3.20,47392,10.0.1.20,5001,3,0.0-5.0,108600,173760
20230922015149,10.0.3.20,47392,10.0.1.20,5001,3,5.0-10.0,0,0
20230922015155,10.0.3.20,47392,10.0.1.20,5001,3,10.0-15.0,0,0
20230922015200,10.0.3.20,47392,10.0.1.20,5001,3,15.0-20.0,0,0
20230922015205,10.0.3.20,47392,10.0.1.20,5001,3,20.0-25.0,0,0
20230922015210,10.0.3.20,47392,10.0.1.20,5001,3,25.0-30.0,0,0
20230922015215,10.0.3.20,47392,10.0.1.20,5001,3,30.0-35.0,0,0
20230922015220,10.0.3.20,47392,10.0.1.20,5001,3,35.0-40.0,0,0
20230922015225,10.0.3.20,47392,10.0.1.20,5001,3,40.0-45.0,0,0
20230922015230,10.0.3.20,47392,10.0.1.20,5001,3,45.0-50.0,0,0
20230922015236,10.0.3.20,47392,10.0.1.20,5001,3,50.0-55.0,0,0
20230922015241,10.0.3.20,47392,10.0.1.20,5001,3,55.0-60.0,0,0
20230922015246,10.0.3.20,47392,10.0.1.20,5001,3,60.0-65.0,0,0
20230922015251,10.0.3.20,47392,10.0.1.20,5001,3,65.0-70.0,0,0
20230922015256,10.0.3.20,47392,10.0.1.20,5001,3,70.0-75.0,0,0
20230922015301,10.0.3.20,47392,10.0.1.20,5001,3,75.0-80.0,0,0
20230922015306,10.0.3.20,47392,10.0.1.20,5001,3,80.0-85.0,0,0
20230922015311,10.0.3.20,47392,10.0.1.20,5001,3,85.0-90.0,0,0
20230922015317,10.0.3.20,47392,10.0.1.20,5001,3,90.0-95.0,0,0
20230922015322,10.0.3.20,47392,10.0.1.20,5001,3,95.0-100.0,47784,76454
20230922015327,10.0.3.20,47392,10.0.1.20,5001,3,100.0-105.0,0,0
20230922015329,10.0.3.20,47392,10.0.1.20,5001,3,105.0-110.0,0,0
20230922015334,10.0.3.20,47392,10.0.1.20,5001,3,110.0-115.0,0,0
20230922015340,10.0.3.20,47392,10.0.1.20,5001,3,115.0-120.0,0,0
20230922015340,10.0.3.20,47392,10.0.1.20,5001,3,0.0-120.3,156384,10400
