time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922011521,10.0.3.20,55610,10.0.1.20,5001,3,0.0-5.0,179552,287283
20230922011523,10.0.3.20,55610,10.0.1.20,5001,3,5.0-10.0,56472,90355
20230922011528,10.0.3.20,55610,10.0.1.20,5001,3,10.0-15.0,0,0
20230922011533,10.0.3.20,55610,10.0.1.20,5001,3,15.0-20.0,0,0
20230922011539,10.0.3.20,55610,10.0.1.20,5001,3,20.0-25.0,0,0
20230922011544,10.0.3.20,55610,10.0.1.20,5001,3,25.0-30.0,0,0
20230922011549,10.0.3.20,55610,10.0.1.20,5001,3,30.0-35.0,0,0
20230922011554,10.0.3.20,55610,10.0.1.20,5001,3,35.0-40.0,0,0
20230922011559,10.0.3.20,55610,10.0.1.20,5001,3,40.0-45.0,56472,90355
20230922011604,10.0.3.20,55610,10.0.1.20,5001,3,45.0-50.0,0,0
20230922011609,10.0.3.20,55610,10.0.1.20,5001,3,50.0-55.0,0,0
20230922011614,10.0.3.20,55610,10.0.1.20,5001,3,55.0-60.0,0,0
20230922011620,10.0.3.20,55610,10.0.1.20,5001,3,60.0-65.0,0,0
20230922011625,10.0.3.20,55610,10.0.1.20,5001,3,65.0-70.0,0,0
20230922011630,10.0.3.20,55610,10.0.1.20,5001,3,70.0-75.0,0,0
20230922011635,10.0.3.20,55610,10.0.1.20,5001,3,75.0-80.0,0,0
20230922011640,10.0.3.20,55610,10.0.1.20,5001,3,80.0-85.0,0,0
20230922011645,10.0.3.20,55610,10.0.1.20,5001,3,85.0-90.0,0,0
20230922011650,10.0.3.20,55610,10.0.1.20,5001,3,90.0-95.0,0,0
20230922011655,10.0.3.20,55610,10.0.1.20,5001,3,95.0-100.0,0,0
20230922011701,10.0.3.20,55610,10.0.1.20,5001,3,100.0-105.0,0,0
20230922011706,10.0.3.20,55610,10.0.1.20,5001,3,105.0-110.0,0,0
20230922011708,10.0.3.20,55610,10.0.1.20,5001,3,110.0-115.0,0,0
20230922011713,10.0.3.20,55610,10.0.1.20,5001,3,115.0-120.0,0,0
20230922011713,10.0.3.20,55610,10.0.1.20,5001,3,0.0-120.2,292496,19471
