time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922022855,10.0.3.20,53280,10.0.1.20,5001,3,0.0-5.0,207064,331302
20230922022900,10.0.3.20,53280,10.0.1.20,5001,3,5.0-10.0,0,0
20230922022905,10.0.3.20,53280,10.0.1.20,5001,3,10.0-15.0,0,0
20230922022910,10.0.3.20,53280,10.0.1.20,5001,3,15.0-20.0,0,0
20230922022913,10.0.3.20,53280,10.0.1.20,5001,3,20.0-25.0,0,0
20230922022918,10.0.3.20,53280,10.0.1.20,5001,3,25.0-30.0,72400,115840
20230922022923,10.0.3.20,53280,10.0.1.20,5001,3,30.0-35.0,0,0
20230922022928,10.0.3.20,53280,10.0.1.20,5001,3,35.0-40.0,0,0
20230922022933,10.0.3.20,53280,10.0.1.20,5001,3,40.0-45.0,0,0
20230922022938,10.0.3.20,53280,10.0.1.20,5001,3,45.0-50.0,0,0
20230922022943,10.0.3.20,53280,10.0.1.20,5001,3,50.0-55.0,0,0
20230922022948,10.0.3.20,53280,10.0.1.20,5001,3,55.0-60.0,0,0
20230922022954,10.0.3.20,53280,10.0.1.20,5001,3,60.0-65.0,0,0
20230922022959,10.0.3.20,53280,10.0.1.20,5001,3,65.0-70.0,0,0
20230922023004,10.0.3.20,53280,10.0.1.20,5001,3,70.0-75.0,0,0
20230922023009,10.0.3.20,53280,10.0.1.20,5001,3,75.0-80.0,0,0
20230922023014,10.0.3.20,53280,10.0.1.20,5001,3,80.0-85.0,0,0
20230922023019,10.0.3.20,53280,10.0.1.20,5001,3,85.0-90.0,0,0
20230922023024,10.0.3.20,53280,10.0.1.20,5001,3,90.0-95.0,0,0
20230922023029,10.0.3.20,53280,10.0.1.20,5001,3,95.0-100.0,0,0
20230922023034,10.0.3.20,53280,10.0.1.20,5001,3,100.0-105.0,0,0
20230922023040,10.0.3.20,53280,10.0.1.20,5001,3,105.0-110.0,0,0
20230922023045,10.0.3.20,53280,10.0.1.20,5001,3,110.0-115.0,0,0
20230922023050,10.0.3.20,53280,10.0.1.20,5001,3,115.0-120.0,0,0
20230922023050,10.0.3.20,53280,10.0.1.20,5001,3,0.0-122.3,279464,18281
