time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922014539,10.0.3.20,57230,10.0.1.20,5001,3,0.0-5.0,217579520,348127232
20230922014544,10.0.3.20,57230,10.0.1.20,5001,3,5.0-10.0,278134784,445015654
20230922014549,10.0.3.20,57230,10.0.1.20,5001,3,10.0-15.0,290979840,465567744
20230922014554,10.0.3.20,57230,10.0.1.20,5001,3,15.0-20.0,289538048,463260876
20230922014559,10.0.3.20,57230,10.0.1.20,5001,3,20.0-25.0,268828672,430125875
20230922014604,10.0.3.20,57230,10.0.1.20,5001,3,25.0-30.0,285212672,456340275
20230922014609,10.0.3.20,57230,10.0.1.20,5001,3,30.0-35.0,290979840,465567744
20230922014614,10.0.3.20,57230,10.0.1.20,5001,3,35.0-40.0,290979840,465567744
20230922014619,10.0.3.20,57230,10.0.1.20,5001,3,40.0-45.0,263847936,422156697
20230922014624,10.0.3.20,57230,10.0.1.20,5001,3,45.0-50.0,289800192,463680307
20230922014629,10.0.3.20,57230,10.0.1.20,5001,3,50.0-55.0,289538048,463260876
20230922014634,10.0.3.20,57230,10.0.1.20,5001,3,55.0-60.0,290979840,465567744
20230922014639,10.0.3.20,57230,10.0.1.20,5001,3,60.0-65.0,263323648,421317836
20230922014644,10.0.3.20,57230,10.0.1.20,5001,3,65.0-70.0,290979840,465567744
20230922014649,10.0.3.20,57230,10.0.1.20,5001,3,70.0-75.0,290979840,465567744
20230922014654,10.0.3.20,57230,10.0.1.20,5001,3,75.0-80.0,277610496,444176793
20230922014659,10.0.3.20,57230,10.0.1.20,5001,3,80.0-85.0,275120128,440192204
20230922014704,10.0.3.20,57230,10.0.1.20,5001,3,85.0-90.0,291110912,465777459
20230922014709,10.0.3.20,57230,10.0.1.20,5001,3,90.0-95.0,290979840,465567744
20230922014714,10.0.3.20,57230,10.0.1.20,5001,3,95.0-100.0,268697600,429916160
20230922014719,10.0.3.20,57230,10.0.1.20,5001,3,100.0-105.0,285212672,456340275
20230922014724,10.0.3.20,57230,10.0.1.20,5001,3,105.0-110.0,289538048,463260876
20230922014729,10.0.3.20,57230,10.0.1.20,5001,3,110.0-115.0,290979840,465567744
20230922014734,10.0.3.20,57230,10.0.1.20,5001,3,115.0-120.0,263847936,422156697
20230922014734,10.0.3.20,57230,10.0.1.20,5001,3,0.0-120.0,6724780032,448302709
