time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922013733,10.0.3.20,60784,10.0.1.20,5001,3,0.0-5.0,284688384,455501414
20230922013738,10.0.3.20,60784,10.0.1.20,5001,3,5.0-10.0,290979840,465567744
20230922013743,10.0.3.20,60784,10.0.1.20,5001,3,10.0-15.0,262537216,420059545
20230922013748,10.0.3.20,60784,10.0.1.20,5001,3,15.0-20.0,290979840,465567744
20230922013753,10.0.3.20,60784,10.0.1.20,5001,3,20.0-25.0,291110912,465777459
20230922013758,10.0.3.20,60784,10.0.1.20,5001,3,25.0-30.0,276955136,443128217
20230922013803,10.0.3.20,60784,10.0.1.20,5001,3,30.0-35.0,276692992,442708787
20230922013808,10.0.3.20,60784,10.0.1.20,5001,3,35.0-40.0,289538048,463260876
20230922013813,10.0.3.20,60784,10.0.1.20,5001,3,40.0-45.0,290979840,465567744
20230922013818,10.0.3.20,60784,10.0.1.20,5001,3,45.0-50.0,268959744,430335590
20230922013823,10.0.3.20,60784,10.0.1.20,5001,3,50.0-55.0,285343744,456549990
20230922013828,10.0.3.20,60784,10.0.1.20,5001,3,55.0-60.0,290979840,465567744
20230922013833,10.0.3.20,60784,10.0.1.20,5001,3,60.0-65.0,289669120,463470592
20230922013838,10.0.3.20,60784,10.0.1.20,5001,3,65.0-70.0,264503296,423205273
20230922013843,10.0.3.20,60784,10.0.1.20,5001,3,70.0-75.0,289669120,463470592
20230922013848,10.0.3.20,60784,10.0.1.20,5001,3,75.0-80.0,290979840,465567744
20230922013853,10.0.3.20,60784,10.0.1.20,5001,3,80.0-85.0,289538048,463260876
20230922013858,10.0.3.20,60784,10.0.1.20,5001,3,85.0-90.0,263716864,421946982
20230922013903,10.0.3.20,60784,10.0.1.20,5001,3,90.0-95.0,291110912,465777459
20230922013908,10.0.3.20,60784,10.0.1.20,5001,3,95.0-100.0,290979840,465567744
20230922013913,10.0.3.20,60784,10.0.1.20,5001,3,100.0-105.0,280363008,448580812
20230922013918,10.0.3.20,60784,10.0.1.20,5001,3,105.0-110.0,273940480,438304768
20230922013923,10.0.3.20,60784,10.0.1.20,5001,3,110.0-115.0,289538048,463260876
20230922013928,10.0.3.20,60784,10.0.1.20,5001,3,115.0-120.0,290979840,465567744
20230922013928,10.0.3.20,60784,10.0.1.20,5001,3,0.0-120.0,6804733952,453597926
