time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922011317,10.0.3.20,40818,10.0.1.20,5001,3,0.0-5.0,285081600,456130560
20230922011322,10.0.3.20,40818,10.0.1.20,5001,3,5.0-10.0,291110912,465777459
20230922011327,10.0.3.20,40818,10.0.1.20,5001,3,10.0-15.0,263192576,421108121
20230922011332,10.0.3.20,40818,10.0.1.20,5001,3,15.0-20.0,290979840,465567744
20230922011337,10.0.3.20,40818,10.0.1.20,5001,3,20.0-25.0,289669120,463470592
20230922011342,10.0.3.20,40818,10.0.1.20,5001,3,25.0-30.0,277741568,444386508
20230922011347,10.0.3.20,40818,10.0.1.20,5001,3,30.0-35.0,276692992,442708787
20230922011352,10.0.3.20,40818,10.0.1.20,5001,3,35.0-40.0,290979840,465567744
20230922011357,10.0.3.20,40818,10.0.1.20,5001,3,40.0-45.0,289669120,463470592
20230922011402,10.0.3.20,40818,10.0.1.20,5001,3,45.0-50.0,269352960,430964736
20230922011407,10.0.3.20,40818,10.0.1.20,5001,3,50.0-55.0,285343744,456549990
20230922011412,10.0.3.20,40818,10.0.1.20,5001,3,55.0-60.0,289538048,463260876
20230922011417,10.0.3.20,40818,10.0.1.20,5001,3,60.0-65.0,290979840,465567744
20230922011422,10.0.3.20,40818,10.0.1.20,5001,3,65.0-70.0,263979008,422366412
20230922011427,10.0.3.20,40818,10.0.1.20,5001,3,70.0-75.0,289538048,463260876
20230922011432,10.0.3.20,40818,10.0.1.20,5001,3,75.0-80.0,291110912,465777459
20230922011437,10.0.3.20,40818,10.0.1.20,5001,3,80.0-85.0,290979840,465567744
20230922011442,10.0.3.20,40818,10.0.1.20,5001,3,85.0-90.0,262275072,419640115
20230922011447,10.0.3.20,40818,10.0.1.20,5001,3,90.0-95.0,290979840,465567744
20230922011452,10.0.3.20,40818,10.0.1.20,5001,3,95.0-100.0,291110912,465777459
20230922011457,10.0.3.20,40818,10.0.1.20,5001,3,100.0-105.0,279445504,447112806
20230922011502,10.0.3.20,40818,10.0.1.20,5001,3,105.0-110.0,273809408,438095052
20230922011507,10.0.3.20,40818,10.0.1.20,5001,3,110.0-115.0,290979840,465567744
20230922011512,10.0.3.20,40818,10.0.1.20,5001,3,115.0-120.0,316407808,506252492
20230922011512,10.0.3.20,40818,10.0.1.20,5001,3,0.0-120.0,6830948352,455391733
