time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922012729,10.0.3.20,42934,10.0.1.20,5001,3,0.0-5.0,172312,275699
20230922012732,10.0.3.20,42934,10.0.1.20,5001,3,5.0-10.0,0,0
20230922012737,10.0.3.20,42934,10.0.1.20,5001,3,10.0-15.0,0,0
20230922012742,10.0.3.20,42934,10.0.1.20,5001,3,15.0-20.0,0,0
20230922012747,10.0.3.20,42934,10.0.1.20,5001,3,20.0-25.0,0,0
20230922012752,10.0.3.20,42934,10.0.1.20,5001,3,25.0-30.0,0,0
20230922012757,10.0.3.20,42934,10.0.1.20,5001,3,30.0-35.0,0,0
20230922012803,10.0.3.20,42934,10.0.1.20,5001,3,35.0-40.0,0,0
20230922012808,10.0.3.20,42934,10.0.1.20,5001,3,40.0-45.0,0,0
20230922012813,10.0.3.20,42934,10.0.1.20,5001,3,45.0-50.0,0,0
20230922012818,10.0.3.20,42934,10.0.1.20,5001,3,50.0-55.0,0,0
20230922012823,10.0.3.20,42934,10.0.1.20,5001,3,55.0-60.0,0,0
20230922012828,10.0.3.20,42934,10.0.1.20,5001,3,60.0-65.0,0,0
20230922012833,10.0.3.20,42934,10.0.1.20,5001,3,65.0-70.0,0,0
20230922012838,10.0.3.20,42934,10.0.1.20,5001,3,70.0-75.0,0,0
20230922012843,10.0.3.20,42934,10.0.1.20,5001,3,75.0-80.0,0,0
20230922012849,10.0.3.20,42934,10.0.1.20,5001,3,80.0-85.0,0,0
20230922012854,10.0.3.20,42934,10.0.1.20,5001,3,85.0-90.0,0,0
20230922012859,10.0.3.20,42934,10.0.1.20,5001,3,90.0-95.0,0,0
20230922012904,10.0.3.20,42934,10.0.1.20,5001,3,95.0-100.0,0,0
20230922012909,10.0.3.20,42934,10.0.1.20,5001,3,100.0-105.0,0,0
20230922012914,10.0.3.20,42934,10.0.1.20,5001,3,105.0-110.0,0,0
20230922012917,10.0.3.20,42934,10.0.1.20,5001,3,110.0-115.0,0,0
20230922012922,10.0.3.20,42934,10.0.1.20,5001,3,115.0-120.0,0,0
20230922012922,10.0.3.20,42934,10.0.1.20,5001,3,0.0-120.1,172312,11473
