time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922011921,10.0.3.20,48522,10.0.1.20,5001,3,0.0-5.0,133216,213145
20230922011926,10.0.3.20,48522,10.0.1.20,5001,3,5.0-10.0,62264,99622
20230922011931,10.0.3.20,48522,10.0.1.20,5001,3,10.0-15.0,0,0
20230922011936,10.0.3.20,48522,10.0.1.20,5001,3,15.0-20.0,0,0
20230922011941,10.0.3.20,48522,10.0.1.20,5001,3,20.0-25.0,0,0
20230922011946,10.0.3.20,48522,10.0.1.20,5001,3,25.0-30.0,0,0
20230922011952,10.0.3.20,48522,10.0.1.20,5001,3,30.0-35.0,0,0
20230922011957,10.0.3.20,48522,10.0.1.20,5001,3,35.0-40.0,0,0
20230922012002,10.0.3.20,48522,10.0.1.20,5001,3,40.0-45.0,0,0
20230922012007,10.0.3.20,48522,10.0.1.20,5001,3,45.0-50.0,0,0
20230922012012,10.0.3.20,48522,10.0.1.20,5001,3,50.0-55.0,0,0
20230922012017,10.0.3.20,48522,10.0.1.20,5001,3,55.0-60.0,0,0
20230922012022,10.0.3.20,48522,10.0.1.20,5001,3,60.0-65.0,0,0
20230922012027,10.0.3.20,48522,10.0.1.20,5001,3,65.0-70.0,0,0
20230922012032,10.0.3.20,48522,10.0.1.20,5001,3,70.0-75.0,0,0
20230922012038,10.0.3.20,48522,10.0.1.20,5001,3,75.0-80.0,0,0
20230922012043,10.0.3.20,48522,10.0.1.20,5001,3,80.0-85.0,0,0
20230922012048,10.0.3.20,48522,10.0.1.20,5001,3,85.0-90.0,0,0
20230922012053,10.0.3.20,48522,10.0.1.20,5001,3,90.0-95.0,0,0
20230922012058,10.0.3.20,48522,10.0.1.20,5001,3,95.0-100.0,0,0
20230922012101,10.0.3.20,48522,10.0.1.20,5001,3,100.0-105.0,0,0
20230922012106,10.0.3.20,48522,10.0.1.20,5001,3,105.0-110.0,0,0
20230922012111,10.0.3.20,48522,10.0.1.20,5001,3,110.0-115.0,0,0
20230922012116,10.0.3.20,48522,10.0.1.20,5001,3,115.0-120.0,0,0
20230922012116,10.0.3.20,48522,10.0.1.20,5001,3,0.0-120.4,195480,12987
