time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922021442,10.0.3.20,43764,10.0.1.20,5001,3,0.0-5.0,98697216,157915545
20230922021447,10.0.3.20,43764,10.0.1.20,5001,3,5.0-10.0,111804416,178887065
20230922021452,10.0.3.20,43764,10.0.1.20,5001,3,10.0-15.0,126222336,201955737
20230922021457,10.0.3.20,43764,10.0.1.20,5001,3,15.0-20.0,135004160,216006656
20230922021502,10.0.3.20,43764,10.0.1.20,5001,3,20.0-25.0,133955584,214328934
20230922021507,10.0.3.20,43764,10.0.1.20,5001,3,25.0-30.0,133300224,213280358
20230922021512,10.0.3.20,43764,10.0.1.20,5001,3,30.0-35.0,136183808,217894092
20230922021517,10.0.3.20,43764,10.0.1.20,5001,3,35.0-40.0,135266304,216426086
20230922021522,10.0.3.20,43764,10.0.1.20,5001,3,40.0-45.0,133300224,213280358
20230922021527,10.0.3.20,43764,10.0.1.20,5001,3,45.0-50.0,135266304,216426086
20230922021532,10.0.3.20,43764,10.0.1.20,5001,3,50.0-55.0,132644864,212231782
20230922021537,10.0.3.20,43764,10.0.1.20,5001,3,55.0-60.0,134873088,215796940
20230922021542,10.0.3.20,43764,10.0.1.20,5001,3,60.0-65.0,134873088,215796940
20230922021547,10.0.3.20,43764,10.0.1.20,5001,3,65.0-70.0,134742016,215587225
20230922021552,10.0.3.20,43764,10.0.1.20,5001,3,70.0-75.0,135266304,216426086
20230922021557,10.0.3.20,43764,10.0.1.20,5001,3,75.0-80.0,133693440,213909504
20230922021602,10.0.3.20,43764,10.0.1.20,5001,3,80.0-85.0,134742016,215587225
20230922021607,10.0.3.20,43764,10.0.1.20,5001,3,85.0-90.0,132644864,212231782
20230922021612,10.0.3.20,43764,10.0.1.20,5001,3,90.0-95.0,135004160,216006656
20230922021617,10.0.3.20,43764,10.0.1.20,5001,3,95.0-100.0,115081216,184129945
20230922021622,10.0.3.20,43764,10.0.1.20,5001,3,100.0-105.0,135004160,216006656
20230922021627,10.0.3.20,43764,10.0.1.20,5001,3,105.0-110.0,136183808,217894092
20230922021632,10.0.3.20,43764,10.0.1.20,5001,3,110.0-115.0,133431296,213490073
20230922021637,10.0.3.20,43764,10.0.1.20,5001,3,115.0-120.0,136183808,217894092
20230922021637,10.0.3.20,43764,10.0.1.20,5001,3,0.0-120.0,3143368704,209492143
