time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922014943,10.0.3.20,42162,10.0.1.20,5001,3,0.0-5.0,99090432,158544691
20230922014948,10.0.3.20,42162,10.0.1.20,5001,3,5.0-10.0,121765888,194825420
20230922014953,10.0.3.20,42162,10.0.1.20,5001,3,10.0-15.0,123600896,197761433
20230922014958,10.0.3.20,42162,10.0.1.20,5001,3,15.0-20.0,124780544,199648870
20230922015003,10.0.3.20,42162,10.0.1.20,5001,3,20.0-25.0,126091264,201746022
20230922015008,10.0.3.20,42162,10.0.1.20,5001,3,25.0-30.0,120455168,192728268
20230922015013,10.0.3.20,42162,10.0.1.20,5001,3,30.0-35.0,119275520,190840832
20230922015018,10.0.3.20,42162,10.0.1.20,5001,3,35.0-40.0,120586240,192937984
20230922015023,10.0.3.20,42162,10.0.1.20,5001,3,40.0-45.0,120586240,192937984
20230922015028,10.0.3.20,42162,10.0.1.20,5001,3,45.0-50.0,122028032,195244851
20230922015033,10.0.3.20,42162,10.0.1.20,5001,3,50.0-55.0,123469824,197551718
20230922015038,10.0.3.20,42162,10.0.1.20,5001,3,55.0-60.0,123863040,198180864
20230922015043,10.0.3.20,42162,10.0.1.20,5001,3,60.0-65.0,126222336,201955737
20230922015048,10.0.3.20,42162,10.0.1.20,5001,3,65.0-70.0,123207680,197132288
20230922015053,10.0.3.20,42162,10.0.1.20,5001,3,70.0-75.0,119013376,190421401
20230922015058,10.0.3.20,42162,10.0.1.20,5001,3,75.0-80.0,120848384,193357414
20230922015103,10.0.3.20,42162,10.0.1.20,5001,3,80.0-85.0,120979456,193567129
20230922015108,10.0.3.20,42162,10.0.1.20,5001,3,85.0-90.0,120717312,193147699
20230922015113,10.0.3.20,42162,10.0.1.20,5001,3,90.0-95.0,122683392,196293427
20230922015118,10.0.3.20,42162,10.0.1.20,5001,3,95.0-100.0,123207680,197132288
20230922015123,10.0.3.20,42162,10.0.1.20,5001,3,100.0-105.0,125173760,200278016
20230922015128,10.0.3.20,42162,10.0.1.20,5001,3,105.0-110.0,124649472,199439155
20230922015133,10.0.3.20,42162,10.0.1.20,5001,3,110.0-115.0,120455168,192728268
20230922015138,10.0.3.20,42162,10.0.1.20,5001,3,115.0-120.0,120717312,193147699
20230922015138,10.0.3.20,42162,10.0.1.20,5001,3,0.0-120.0,2913468416,194193002
