time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922020633,10.0.3.20,50366,10.0.1.20,5001,3,0.0-5.0,133562368,213699788
20230922020638,10.0.3.20,50366,10.0.1.20,5001,3,5.0-10.0,134742016,215587225
20230922020643,10.0.3.20,50366,10.0.1.20,5001,3,10.0-15.0,133824512,214119219
20230922020648,10.0.3.20,50366,10.0.1.20,5001,3,15.0-20.0,135397376,216635801
20230922020653,10.0.3.20,50366,10.0.1.20,5001,3,20.0-25.0,135004160,216006656
20230922020658,10.0.3.20,50366,10.0.1.20,5001,3,25.0-30.0,134742016,215587225
20230922020703,10.0.3.20,50366,10.0.1.20,5001,3,30.0-35.0,135004160,216006656
20230922020708,10.0.3.20,50366,10.0.1.20,5001,3,35.0-40.0,131989504,211183206
20230922020713,10.0.3.20,50366,10.0.1.20,5001,3,40.0-45.0,136183808,217894092
20230922020718,10.0.3.20,50366,10.0.1.20,5001,3,45.0-50.0,131858432,210973491
20230922020723,10.0.3.20,50366,10.0.1.20,5001,3,50.0-55.0,136708096,218732953
20230922020728,10.0.3.20,50366,10.0.1.20,5001,3,55.0-60.0,135397376,216635801
20230922020733,10.0.3.20,50366,10.0.1.20,5001,3,60.0-65.0,133300224,213280358
20230922020738,10.0.3.20,50366,10.0.1.20,5001,3,65.0-70.0,135004160,216006656
20230922020743,10.0.3.20,50366,10.0.1.20,5001,3,70.0-75.0,133955584,214328934
20230922020748,10.0.3.20,50366,10.0.1.20,5001,3,75.0-80.0,134873088,215796940
20230922020753,10.0.3.20,50366,10.0.1.20,5001,3,80.0-85.0,133300224,213280358
20230922020758,10.0.3.20,50366,10.0.1.20,5001,3,85.0-90.0,134742016,215587225
20230922020803,10.0.3.20,50366,10.0.1.20,5001,3,90.0-95.0,135397376,216635801
20230922020808,10.0.3.20,50366,10.0.1.20,5001,3,95.0-100.0,134742016,215587225
20230922020813,10.0.3.20,50366,10.0.1.20,5001,3,100.0-105.0,134742016,215587225
20230922020818,10.0.3.20,50366,10.0.1.20,5001,3,105.0-110.0,133300224,213280358
20230922020823,10.0.3.20,50366,10.0.1.20,5001,3,110.0-115.0,134873088,215796940
20230922020828,10.0.3.20,50366,10.0.1.20,5001,3,115.0-120.0,133824512,214119219
20230922020828,10.0.3.20,50366,10.0.1.20,5001,3,0.0-120.1,3226468352,215006383
