time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922013532,10.0.3.20,56920,10.0.1.20,5001,3,0.0-5.0,108600,173760
20230922013537,10.0.3.20,56920,10.0.1.20,5001,3,5.0-10.0,0,0
20230922013542,10.0.3.20,56920,10.0.1.20,5001,3,10.0-15.0,0,0
20230922013547,10.0.3.20,56920,10.0.1.20,5001,3,15.0-20.0,0,0
20230922013553,10.0.3.20,56920,10.0.1.20,5001,3,20.0-25.0,0,0
20230922013558,10.0.3.20,56920,10.0.1.20,5001,3,25.0-30.0,0,0
20230922013603,10.0.3.20,56920,10.0.1.20,5001,3,30.0-35.0,0,0
20230922013608,10.0.3.20,56920,10.0.1.20,5001,3,35.0-40.0,0,0
20230922013613,10.0.3.20,56920,10.0.1.20,5001,3,40.0-45.0,0,0
20230922013618,10.0.3.20,56920,10.0.1.20,5001,3,45.0-50.0,0,0
20230922013623,10.0.3.20,56920,10.0.1.20,5001,3,50.0-55.0,0,0
20230922013628,10.0.3.20,56920,10.0.1.20,5001,3,55.0-60.0,0,0
20230922013634,10.0.3.20,56920,10.0.1.20,5001,3,60.0-65.0,0,0
20230922013639,10.0.3.20,56920,10.0.1.20,5001,3,65.0-70.0,0,0
20230922013644,10.0.3.20,56920,10.0.1.20,5001,3,70.0-75.0,0,0
20230922013649,10.0.3.20,56920,10.0.1.20,5001,3,75.0-80.0,0,0
20230922013654,10.0.3.20,56920,10.0.1.20,5001,3,80.0-85.0,0,0
20230922013659,10.0.3.20,56920,10.0.1.20,5001,3,85.0-90.0,0,0
20230922013704,10.0.3.20,56920,10.0.1.20,5001,3,90.0-95.0,0,0
20230922013709,10.0.3.20,56920,10.0.1.20,5001,3,95.0-100.0,0,0
20230922013714,10.0.3.20,56920,10.0.1.20,5001,3,100.0-105.0,0,0
20230922013717,10.0.3.20,56920,10.0.1.20,5001,3,105.0-110.0,0,0
20230922013722,10.0.3.20,56920,10.0.1.20,5001,3,110.0-115.0,0,0
20230922013727,10.0.3.20,56920,10.0.1.20,5001,3,115.0-120.0,0,0
20230922013727,10.0.3.20,56920,10.0.1.20,5001,3,0.0-120.3,108600,7222
