time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922021038,10.0.3.20,45892,10.0.1.20,5001,3,0.0-5.0,281280512,450048819
20230922021043,10.0.3.20,45892,10.0.1.20,5001,3,5.0-10.0,289669120,463470592
20230922021048,10.0.3.20,45892,10.0.1.20,5001,3,10.0-15.0,290979840,465567744
20230922021053,10.0.3.20,45892,10.0.1.20,5001,3,15.0-20.0,290062336,464099737
20230922021058,10.0.3.20,45892,10.0.1.20,5001,3,20.0-25.0,290979840,465567744
20230922021103,10.0.3.20,45892,10.0.1.20,5001,3,25.0-30.0,290586624,464938598
20230922021108,10.0.3.20,45892,10.0.1.20,5001,3,30.0-35.0,289538048,463260876
20230922021113,10.0.3.20,45892,10.0.1.20,5001,3,35.0-40.0,290979840,465567744
20230922021118,10.0.3.20,45892,10.0.1.20,5001,3,40.0-45.0,290324480,464519168
20230922021123,10.0.3.20,45892,10.0.1.20,5001,3,45.0-50.0,289538048,463260876
20230922021128,10.0.3.20,45892,10.0.1.20,5001,3,50.0-55.0,290979840,465567744
20230922021133,10.0.3.20,45892,10.0.1.20,5001,3,55.0-60.0,290979840,465567744
20230922021138,10.0.3.20,45892,10.0.1.20,5001,3,60.0-65.0,289538048,463260876
20230922021143,10.0.3.20,45892,10.0.1.20,5001,3,65.0-70.0,290979840,465567744
20230922021148,10.0.3.20,45892,10.0.1.20,5001,3,70.0-75.0,290062336,464099737
20230922021153,10.0.3.20,45892,10.0.1.20,5001,3,75.0-80.0,290979840,465567744
20230922021158,10.0.3.20,45892,10.0.1.20,5001,3,80.0-85.0,289538048,463260876
20230922021203,10.0.3.20,45892,10.0.1.20,5001,3,85.0-90.0,290324480,464519168
20230922021208,10.0.3.20,45892,10.0.1.20,5001,3,90.0-95.0,290979840,465567744
20230922021213,10.0.3.20,45892,10.0.1.20,5001,3,95.0-100.0,289275904,462841446
20230922021218,10.0.3.20,45892,10.0.1.20,5001,3,100.0-105.0,290979840,465567744
20230922021223,10.0.3.20,45892,10.0.1.20,5001,3,105.0-110.0,290324480,464519168
20230922021228,10.0.3.20,45892,10.0.1.20,5001,3,110.0-115.0,289538048,463260876
20230922021233,10.0.3.20,45892,10.0.1.20,5001,3,115.0-120.0,291110912,465777459
20230922021233,10.0.3.20,45892,10.0.1.20,5001,3,0.0-120.0,6959529984,463932208
