time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922020432,10.0.3.20,48244,10.0.1.20,5001,3,0.0-5.0,172312,275699
20230922020437,10.0.3.20,48244,10.0.1.20,5001,3,5.0-10.0,0,0
20230922020440,10.0.3.20,48244,10.0.1.20,5001,3,10.0-15.0,31856,50969
20230922020445,10.0.3.20,48244,10.0.1.20,5001,3,15.0-20.0,0,0
20230922020450,10.0.3.20,48244,10.0.1.20,5001,3,20.0-25.0,0,0
20230922020455,10.0.3.20,48244,10.0.1.20,5001,3,25.0-30.0,0,0
20230922020500,10.0.3.20,48244,10.0.1.20,5001,3,30.0-35.0,0,0
20230922020505,10.0.3.20,48244,10.0.1.20,5001,3,35.0-40.0,0,0
20230922020510,10.0.3.20,48244,10.0.1.20,5001,3,40.0-45.0,0,0
20230922020515,10.0.3.20,48244,10.0.1.20,5001,3,45.0-50.0,0,0
20230922020520,10.0.3.20,48244,10.0.1.20,5001,3,50.0-55.0,0,0
20230922020526,10.0.3.20,48244,10.0.1.20,5001,3,55.0-60.0,0,0
20230922020531,10.0.3.20,48244,10.0.1.20,5001,3,60.0-65.0,0,0
20230922020536,10.0.3.20,48244,10.0.1.20,5001,3,65.0-70.0,0,0
20230922020541,10.0.3.20,48244,10.0.1.20,5001,3,70.0-75.0,0,0
20230922020546,10.0.3.20,48244,10.0.1.20,5001,3,75.0-80.0,0,0
20230922020551,10.0.3.20,48244,10.0.1.20,5001,3,80.0-85.0,0,0
20230922020556,10.0.3.20,48244,10.0.1.20,5001,3,85.0-90.0,0,0
20230922020601,10.0.3.20,48244,10.0.1.20,5001,3,90.0-95.0,0,0
20230922020607,10.0.3.20,48244,10.0.1.20,5001,3,95.0-100.0,0,0
20230922020612,10.0.3.20,48244,10.0.1.20,5001,3,100.0-105.0,0,0
20230922020617,10.0.3.20,48244,10.0.1.20,5001,3,105.0-110.0,0,0
20230922020622,10.0.3.20,48244,10.0.1.20,5001,3,110.0-115.0,0,0
20230922020627,10.0.3.20,48244,10.0.1.20,5001,3,115.0-120.0,0,0
20230922020627,10.0.3.20,48244,10.0.1.20,5001,3,0.0-122.6,204168,13327
