time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922012928,10.0.3.20,58360,10.0.1.20,5001,3,0.0-5.0,285736960,457179136
20230922012933,10.0.3.20,58360,10.0.1.20,5001,3,5.0-10.0,290979840,465567744
20230922012938,10.0.3.20,58360,10.0.1.20,5001,3,10.0-15.0,263323648,421317836
20230922012943,10.0.3.20,58360,10.0.1.20,5001,3,15.0-20.0,290979840,465567744
20230922012948,10.0.3.20,58360,10.0.1.20,5001,3,20.0-25.0,289669120,463470592
20230922012953,10.0.3.20,58360,10.0.1.20,5001,3,25.0-30.0,283246592,453194547
20230922012958,10.0.3.20,58360,10.0.1.20,5001,3,30.0-35.0,272498688,435997900
20230922013003,10.0.3.20,58360,10.0.1.20,5001,3,35.0-40.0,290979840,465567744
20230922013008,10.0.3.20,58360,10.0.1.20,5001,3,40.0-45.0,290979840,465567744
20230922013013,10.0.3.20,58360,10.0.1.20,5001,3,45.0-50.0,270008320,432013312
20230922013018,10.0.3.20,58360,10.0.1.20,5001,3,50.0-55.0,282460160,451936256
20230922013023,10.0.3.20,58360,10.0.1.20,5001,3,55.0-60.0,290979840,465567744
20230922013028,10.0.3.20,58360,10.0.1.20,5001,3,60.0-65.0,290979840,465567744
20230922013033,10.0.3.20,58360,10.0.1.20,5001,3,65.0-70.0,264896512,423834419
20230922013038,10.0.3.20,58360,10.0.1.20,5001,3,70.0-75.0,288227328,461163724
20230922013043,10.0.3.20,58360,10.0.1.20,5001,3,75.0-80.0,291110912,465777459
20230922013048,10.0.3.20,58360,10.0.1.20,5001,3,80.0-85.0,289538048,463260876
20230922013053,10.0.3.20,58360,10.0.1.20,5001,3,85.0-90.0,264110080,422576128
20230922013058,10.0.3.20,58360,10.0.1.20,5001,3,90.0-95.0,290979840,465567744
20230922013103,10.0.3.20,58360,10.0.1.20,5001,3,95.0-100.0,289538048,463260876
20230922013108,10.0.3.20,58360,10.0.1.20,5001,3,100.0-105.0,282984448,452775116
20230922013113,10.0.3.20,58360,10.0.1.20,5001,3,105.0-110.0,270925824,433481318
20230922013118,10.0.3.20,58360,10.0.1.20,5001,3,110.0-115.0,291110912,465777459
20230922013123,10.0.3.20,58360,10.0.1.20,5001,3,115.0-120.0,289538048,463260876
20230922013123,10.0.3.20,58360,10.0.1.20,5001,3,0.0-120.0,6805782528,453714169
