time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922021645,10.0.3.20,57158,10.0.1.20,5001,3,0.0-5.0,246160,393856
20230922021650,10.0.3.20,57158,10.0.1.20,5001,3,5.0-10.0,65160,104256
20230922021655,10.0.3.20,57158,10.0.1.20,5001,3,10.0-15.0,0,0
20230922021700,10.0.3.20,57158,10.0.1.20,5001,3,15.0-20.0,0,0
20230922021705,10.0.3.20,57158,10.0.1.20,5001,3,20.0-25.0,0,0
20230922021710,10.0.3.20,57158,10.0.1.20,5001,3,25.0-30.0,0,0
20230922021715,10.0.3.20,57158,10.0.1.20,5001,3,30.0-35.0,0,0
20230922021720,10.0.3.20,57158,10.0.1.20,5001,3,35.0-40.0,0,0
20230922021725,10.0.3.20,57158,10.0.1.20,5001,3,40.0-45.0,0,0
20230922021731,10.0.3.20,57158,10.0.1.20,5001,3,45.0-50.0,0,0
20230922021736,10.0.3.20,57158,10.0.1.20,5001,3,50.0-55.0,0,0
20230922021741,10.0.3.20,57158,10.0.1.20,5001,3,55.0-60.0,0,0
20230922021746,10.0.3.20,57158,10.0.1.20,5001,3,60.0-65.0,0,0
20230922021751,10.0.3.20,57158,10.0.1.20,5001,3,65.0-70.0,0,0
20230922021754,10.0.3.20,57158,10.0.1.20,5001,3,70.0-75.0,0,0
20230922021759,10.0.3.20,57158,10.0.1.20,5001,3,75.0-80.0,0,0
20230922021804,10.0.3.20,57158,10.0.1.20,5001,3,80.0-85.0,0,0
20230922021809,10.0.3.20,57158,10.0.1.20,5001,3,85.0-90.0,0,0
20230922021814,10.0.3.20,57158,10.0.1.20,5001,3,90.0-95.0,0,0
20230922021819,10.0.3.20,57158,10.0.1.20,5001,3,95.0-100.0,0,0
20230922021824,10.0.3.20,57158,10.0.1.20,5001,3,100.0-105.0,0,0
20230922021829,10.0.3.20,57158,10.0.1.20,5001,3,105.0-110.0,0,0
20230922021835,10.0.3.20,57158,10.0.1.20,5001,3,110.0-115.0,0,0
20230922021840,10.0.3.20,57158,10.0.1.20,5001,3,115.0-120.0,0,0
20230922021840,10.0.3.20,57158,10.0.1.20,5001,3,0.0-121.1,311320,20558
