time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922022450,10.0.3.20,55148,10.0.1.20,5001,3,0.0-5.0,120184,192294
20230922022455,10.0.3.20,55148,10.0.1.20,5001,3,5.0-10.0,0,0
20230922022500,10.0.3.20,55148,10.0.1.20,5001,3,10.0-15.0,0,0
20230922022505,10.0.3.20,55148,10.0.1.20,5001,3,15.0-20.0,0,0
20230922022510,10.0.3.20,55148,10.0.1.20,5001,3,20.0-25.0,0,0
20230922022515,10.0.3.20,55148,10.0.1.20,5001,3,25.0-30.0,0,0
20230922022521,10.0.3.20,55148,10.0.1.20,5001,3,30.0-35.0,0,0
20230922022526,10.0.3.20,55148,10.0.1.20,5001,3,35.0-40.0,0,0
20230922022531,10.0.3.20,55148,10.0.1.20,5001,3,40.0-45.0,0,0
20230922022536,10.0.3.20,55148,10.0.1.20,5001,3,45.0-50.0,0,0
20230922022541,10.0.3.20,55148,10.0.1.20,5001,3,50.0-55.0,0,0
20230922022546,10.0.3.20,55148,10.0.1.20,5001,3,55.0-60.0,0,0
20230922022551,10.0.3.20,55148,10.0.1.20,5001,3,60.0-65.0,0,0
20230922022556,10.0.3.20,55148,10.0.1.20,5001,3,65.0-70.0,0,0
20230922022602,10.0.3.20,55148,10.0.1.20,5001,3,70.0-75.0,0,0
20230922022607,10.0.3.20,55148,10.0.1.20,5001,3,75.0-80.0,0,0
20230922022612,10.0.3.20,55148,10.0.1.20,5001,3,80.0-85.0,0,0
20230922022617,10.0.3.20,55148,10.0.1.20,5001,3,85.0-90.0,0,0
20230922022622,10.0.3.20,55148,10.0.1.20,5001,3,90.0-95.0,0,0
20230922022627,10.0.3.20,55148,10.0.1.20,5001,3,95.0-100.0,0,0
20230922022630,10.0.3.20,55148,10.0.1.20,5001,3,100.0-105.0,0,0
20230922022635,10.0.3.20,55148,10.0.1.20,5001,3,105.0-110.0,0,0
20230922022640,10.0.3.20,55148,10.0.1.20,5001,3,110.0-115.0,0,0
20230922022645,10.0.3.20,55148,10.0.1.20,5001,3,115.0-120.0,0,0
20230922022645,10.0.3.20,55148,10.0.1.20,5001,3,0.0-120.4,120184,7982
