time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922022047,10.0.3.20,36824,10.0.1.20,5001,3,0.0-5.0,140456,224729
20230922022052,10.0.3.20,36824,10.0.1.20,5001,3,5.0-10.0,0,0
20230922022057,10.0.3.20,36824,10.0.1.20,5001,3,10.0-15.0,0,0
20230922022103,10.0.3.20,36824,10.0.1.20,5001,3,15.0-20.0,0,0
20230922022108,10.0.3.20,36824,10.0.1.20,5001,3,20.0-25.0,31856,50969
20230922022113,10.0.3.20,36824,10.0.1.20,5001,3,25.0-30.0,63712,101939
20230922022118,10.0.3.20,36824,10.0.1.20,5001,3,30.0-35.0,0,0
20230922022123,10.0.3.20,36824,10.0.1.20,5001,3,35.0-40.0,0,0
20230922022128,10.0.3.20,36824,10.0.1.20,5001,3,40.0-45.0,0,0
20230922022133,10.0.3.20,36824,10.0.1.20,5001,3,45.0-50.0,0,0
20230922022138,10.0.3.20,36824,10.0.1.20,5001,3,50.0-55.0,0,0
20230922022144,10.0.3.20,36824,10.0.1.20,5001,3,55.0-60.0,0,0
20230922022149,10.0.3.20,36824,10.0.1.20,5001,3,60.0-65.0,0,0
20230922022154,10.0.3.20,36824,10.0.1.20,5001,3,65.0-70.0,0,0
20230922022159,10.0.3.20,36824,10.0.1.20,5001,3,70.0-75.0,0,0
20230922022204,10.0.3.20,36824,10.0.1.20,5001,3,75.0-80.0,0,0
20230922022209,10.0.3.20,36824,10.0.1.20,5001,3,80.0-85.0,31856,50969
20230922022214,10.0.3.20,36824,10.0.1.20,5001,3,85.0-90.0,1448,2316
20230922022219,10.0.3.20,36824,10.0.1.20,5001,3,90.0-95.0,0,0
20230922022224,10.0.3.20,36824,10.0.1.20,5001,3,95.0-100.0,0,0
20230922022227,10.0.3.20,36824,10.0.1.20,5001,3,100.0-105.0,0,0
20230922022232,10.0.3.20,36824,10.0.1.20,5001,3,105.0-110.0,0,0
20230922022237,10.0.3.20,36824,10.0.1.20,5001,3,110.0-115.0,0,0
20230922022242,10.0.3.20,36824,10.0.1.20,5001,3,115.0-120.0,0,0
20230922022242,10.0.3.20,36824,10.0.1.20,5001,3,0.0-120.5,269328,17884
