time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922015623,10.0.3.20,57788,10.0.1.20,5001,3,0.0-5.0,209960,335936
20230922015628,10.0.3.20,57788,10.0.1.20,5001,3,5.0-10.0,0,0
20230922015633,10.0.3.20,57788,10.0.1.20,5001,3,10.0-15.0,0,0
20230922015638,10.0.3.20,57788,10.0.1.20,5001,3,15.0-20.0,0,0
20230922015644,10.0.3.20,57788,10.0.1.20,5001,3,20.0-25.0,0,0
20230922015649,10.0.3.20,57788,10.0.1.20,5001,3,25.0-30.0,0,0
20230922015654,10.0.3.20,57788,10.0.1.20,5001,3,30.0-35.0,0,0
20230922015659,10.0.3.20,57788,10.0.1.20,5001,3,35.0-40.0,0,0
20230922015704,10.0.3.20,57788,10.0.1.20,5001,3,40.0-45.0,0,0
20230922015709,10.0.3.20,57788,10.0.1.20,5001,3,45.0-50.0,0,0
20230922015712,10.0.3.20,57788,10.0.1.20,5001,3,50.0-55.0,0,0
20230922015717,10.0.3.20,57788,10.0.1.20,5001,3,55.0-60.0,0,0
20230922015722,10.0.3.20,57788,10.0.1.20,5001,3,60.0-65.0,0,0
20230922015727,10.0.3.20,57788,10.0.1.20,5001,3,65.0-70.0,0,0
20230922015732,10.0.3.20,57788,10.0.1.20,5001,3,70.0-75.0,0,0
20230922015737,10.0.3.20,57788,10.0.1.20,5001,3,75.0-80.0,0,0
20230922015742,10.0.3.20,57788,10.0.1.20,5001,3,80.0-85.0,0,0
20230922015748,10.0.3.20,57788,10.0.1.20,5001,3,85.0-90.0,0,0
20230922015753,10.0.3.20,57788,10.0.1.20,5001,3,90.0-95.0,0,0
20230922015758,10.0.3.20,57788,10.0.1.20,5001,3,95.0-100.0,0,0
20230922015803,10.0.3.20,57788,10.0.1.20,5001,3,100.0-105.0,0,0
20230922015808,10.0.3.20,57788,10.0.1.20,5001,3,105.0-110.0,0,0
20230922015813,10.0.3.20,57788,10.0.1.20,5001,3,110.0-115.0,0,0
20230922015818,10.0.3.20,57788,10.0.1.20,5001,3,115.0-120.0,0,0
20230922015818,10.0.3.20,57788,10.0.1.20,5001,3,0.0-121.6,209960,13809
