time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922013935,10.0.3.20,51850,10.0.1.20,5001,3,0.0-5.0,140456,224729
20230922013940,10.0.3.20,51850,10.0.1.20,5001,3,5.0-10.0,0,0
20230922013945,10.0.3.20,51850,10.0.1.20,5001,3,10.0-15.0,0,0
20230922013950,10.0.3.20,51850,10.0.1.20,5001,3,15.0-20.0,0,0
20230922013955,10.0.3.20,51850,10.0.1.20,5001,3,20.0-25.0,31856,50969
20230922014000,10.0.3.20,51850,10.0.1.20,5001,3,25.0-30.0,0,0
20230922014005,10.0.3.20,51850,10.0.1.20,5001,3,30.0-35.0,0,0
20230922014011,10.0.3.20,51850,10.0.1.20,5001,3,35.0-40.0,0,0
20230922014016,10.0.3.20,51850,10.0.1.20,5001,3,40.0-45.0,0,0
20230922014021,10.0.3.20,51850,10.0.1.20,5001,3,45.0-50.0,0,0
20230922014026,10.0.3.20,51850,10.0.1.20,5001,3,50.0-55.0,0,0
20230922014031,10.0.3.20,51850,10.0.1.20,5001,3,55.0-60.0,0,0
20230922014036,10.0.3.20,51850,10.0.1.20,5001,3,60.0-65.0,0,0
20230922014041,10.0.3.20,51850,10.0.1.20,5001,3,65.0-70.0,0,0
20230922014046,10.0.3.20,51850,10.0.1.20,5001,3,70.0-75.0,0,0
20230922014052,10.0.3.20,51850,10.0.1.20,5001,3,75.0-80.0,0,0
20230922014057,10.0.3.20,51850,10.0.1.20,5001,3,80.0-85.0,0,0
20230922014102,10.0.3.20,51850,10.0.1.20,5001,3,85.0-90.0,0,0
20230922014107,10.0.3.20,51850,10.0.1.20,5001,3,90.0-95.0,0,0
20230922014112,10.0.3.20,51850,10.0.1.20,5001,3,95.0-100.0,0,0
20230922014115,10.0.3.20,51850,10.0.1.20,5001,3,100.0-105.0,0,0
20230922014120,10.0.3.20,51850,10.0.1.20,5001,3,105.0-110.0,0,0
20230922014125,10.0.3.20,51850,10.0.1.20,5001,3,110.0-115.0,0,0
20230922014130,10.0.3.20,51850,10.0.1.20,5001,3,115.0-120.0,0,0
20230922014130,10.0.3.20,51850,10.0.1.20,5001,3,0.0-120.4,172312,11448
