time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922020027,10.0.3.20,57092,10.0.1.20,5001,3,0.0-5.0,270776,433241
20230922020032,10.0.3.20,57092,10.0.1.20,5001,3,5.0-10.0,0,0
20230922020037,10.0.3.20,57092,10.0.1.20,5001,3,10.0-15.0,0,0
20230922020042,10.0.3.20,57092,10.0.1.20,5001,3,15.0-20.0,65160,104256
20230922020048,10.0.3.20,57092,10.0.1.20,5001,3,20.0-25.0,0,0
20230922020053,10.0.3.20,57092,10.0.1.20,5001,3,25.0-30.0,0,0
20230922020058,10.0.3.20,57092,10.0.1.20,5001,3,30.0-35.0,0,0
20230922020103,10.0.3.20,57092,10.0.1.20,5001,3,35.0-40.0,0,0
20230922020108,10.0.3.20,57092,10.0.1.20,5001,3,40.0-45.0,0,0
20230922020111,10.0.3.20,57092,10.0.1.20,5001,3,45.0-50.0,0,0
20230922020116,10.0.3.20,57092,10.0.1.20,5001,3,50.0-55.0,0,0
20230922020121,10.0.3.20,57092,10.0.1.20,5001,3,55.0-60.0,0,0
20230922020126,10.0.3.20,57092,10.0.1.20,5001,3,60.0-65.0,0,0
20230922020131,10.0.3.20,57092,10.0.1.20,5001,3,65.0-70.0,0,0
20230922020136,10.0.3.20,57092,10.0.1.20,5001,3,70.0-75.0,0,0
20230922020141,10.0.3.20,57092,10.0.1.20,5001,3,75.0-80.0,0,0
20230922020146,10.0.3.20,57092,10.0.1.20,5001,3,80.0-85.0,0,0
20230922020152,10.0.3.20,57092,10.0.1.20,5001,3,85.0-90.0,0,0
20230922020157,10.0.3.20,57092,10.0.1.20,5001,3,90.0-95.0,0,0
20230922020202,10.0.3.20,57092,10.0.1.20,5001,3,95.0-100.0,0,0
20230922020207,10.0.3.20,57092,10.0.1.20,5001,3,100.0-105.0,0,0
20230922020212,10.0.3.20,57092,10.0.1.20,5001,3,105.0-110.0,0,0
20230922020217,10.0.3.20,57092,10.0.1.20,5001,3,110.0-115.0,0,0
20230922020222,10.0.3.20,57092,10.0.1.20,5001,3,115.0-120.0,0,0
20230922020222,10.0.3.20,57092,10.0.1.20,5001,3,0.0-121.7,335936,22076
