time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922021846,10.0.3.20,39178,10.0.1.20,5001,3,0.0-5.0,288096256,460954009
20230922021851,10.0.3.20,39178,10.0.1.20,5001,3,5.0-10.0,289538048,463260876
20230922021856,10.0.3.20,39178,10.0.1.20,5001,3,10.0-15.0,290717696,465148313
20230922021901,10.0.3.20,39178,10.0.1.20,5001,3,15.0-20.0,290979840,465567744
20230922021906,10.0.3.20,39178,10.0.1.20,5001,3,20.0-25.0,289406976,463051161
20230922021911,10.0.3.20,39178,10.0.1.20,5001,3,25.0-30.0,290979840,465567744
20230922021916,10.0.3.20,39178,10.0.1.20,5001,3,30.0-35.0,290848768,465358028
20230922021921,10.0.3.20,39178,10.0.1.20,5001,3,35.0-40.0,289275904,462841446
20230922021926,10.0.3.20,39178,10.0.1.20,5001,3,40.0-45.0,291110912,465777459
20230922021931,10.0.3.20,39178,10.0.1.20,5001,3,45.0-50.0,289538048,463260876
20230922021936,10.0.3.20,39178,10.0.1.20,5001,3,50.0-55.0,291373056,466196889
20230922021941,10.0.3.20,39178,10.0.1.20,5001,3,55.0-60.0,289931264,463890022
20230922021946,10.0.3.20,39178,10.0.1.20,5001,3,60.0-65.0,291110912,465777459
20230922021951,10.0.3.20,39178,10.0.1.20,5001,3,65.0-70.0,289406976,463051161
20230922021956,10.0.3.20,39178,10.0.1.20,5001,3,70.0-75.0,290979840,465567744
20230922022001,10.0.3.20,39178,10.0.1.20,5001,3,75.0-80.0,290586624,464938598
20230922022006,10.0.3.20,39178,10.0.1.20,5001,3,80.0-85.0,289931264,463890022
20230922022011,10.0.3.20,39178,10.0.1.20,5001,3,85.0-90.0,290979840,465567744
20230922022016,10.0.3.20,39178,10.0.1.20,5001,3,90.0-95.0,289538048,463260876
20230922022021,10.0.3.20,39178,10.0.1.20,5001,3,95.0-100.0,290979840,465567744
20230922022026,10.0.3.20,39178,10.0.1.20,5001,3,100.0-105.0,289538048,463260876
20230922022031,10.0.3.20,39178,10.0.1.20,5001,3,105.0-110.0,291110912,465777459
20230922022036,10.0.3.20,39178,10.0.1.20,5001,3,110.0-115.0,289669120,463470592
20230922022041,10.0.3.20,39178,10.0.1.20,5001,3,115.0-120.0,290586624,464938598
20230922022041,10.0.3.20,39178,10.0.1.20,5001,3,0.0-120.0,6966214656,464348040
