time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922020228,10.0.3.20,52434,10.0.1.20,5001,3,0.0-5.0,287440896,459905433
20230922020233,10.0.3.20,52434,10.0.1.20,5001,3,5.0-10.0,290979840,465567744
20230922020238,10.0.3.20,52434,10.0.1.20,5001,3,10.0-15.0,289669120,463470592
20230922020243,10.0.3.20,52434,10.0.1.20,5001,3,15.0-20.0,289538048,463260876
20230922020248,10.0.3.20,52434,10.0.1.20,5001,3,20.0-25.0,290979840,465567744
20230922020253,10.0.3.20,52434,10.0.1.20,5001,3,25.0-30.0,291110912,465777459
20230922020258,10.0.3.20,52434,10.0.1.20,5001,3,30.0-35.0,289931264,463890022
20230922020303,10.0.3.20,52434,10.0.1.20,5001,3,35.0-40.0,290979840,465567744
20230922020308,10.0.3.20,52434,10.0.1.20,5001,3,40.0-45.0,289406976,463051161
20230922020313,10.0.3.20,52434,10.0.1.20,5001,3,45.0-50.0,290979840,465567744
20230922020318,10.0.3.20,52434,10.0.1.20,5001,3,50.0-55.0,289538048,463260876
20230922020323,10.0.3.20,52434,10.0.1.20,5001,3,55.0-60.0,289931264,463890022
20230922020328,10.0.3.20,52434,10.0.1.20,5001,3,60.0-65.0,290979840,465567744
20230922020333,10.0.3.20,52434,10.0.1.20,5001,3,65.0-70.0,290193408,464309452
20230922020338,10.0.3.20,52434,10.0.1.20,5001,3,70.0-75.0,290979840,465567744
20230922020343,10.0.3.20,52434,10.0.1.20,5001,3,75.0-80.0,289669120,463470592
20230922020348,10.0.3.20,52434,10.0.1.20,5001,3,80.0-85.0,290324480,464519168
20230922020353,10.0.3.20,52434,10.0.1.20,5001,3,85.0-90.0,290979840,465567744
20230922020358,10.0.3.20,52434,10.0.1.20,5001,3,90.0-95.0,289538048,463260876
20230922020403,10.0.3.20,52434,10.0.1.20,5001,3,95.0-100.0,290979840,465567744
20230922020408,10.0.3.20,52434,10.0.1.20,5001,3,100.0-105.0,290979840,465567744
20230922020413,10.0.3.20,52434,10.0.1.20,5001,3,105.0-110.0,289800192,463680307
20230922020418,10.0.3.20,52434,10.0.1.20,5001,3,110.0-115.0,289669120,463470592
20230922020423,10.0.3.20,52434,10.0.1.20,5001,3,115.0-120.0,290979840,465567744
20230922020423,10.0.3.20,52434,10.0.1.20,5001,3,0.0-120.0,6965559296,464332660
