time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922021241,10.0.3.20,42448,10.0.1.20,5001,3,0.0-5.0,250504,400806
20230922021246,10.0.3.20,42448,10.0.1.20,5001,3,5.0-10.0,0,0
20230922021251,10.0.3.20,42448,10.0.1.20,5001,3,10.0-15.0,0,0
20230922021256,10.0.3.20,42448,10.0.1.20,5001,3,15.0-20.0,0,0
20230922021302,10.0.3.20,42448,10.0.1.20,5001,3,20.0-25.0,0,0
20230922021304,10.0.3.20,42448,10.0.1.20,5001,3,25.0-30.0,0,0
20230922021309,10.0.3.20,42448,10.0.1.20,5001,3,30.0-35.0,0,0
20230922021314,10.0.3.20,42448,10.0.1.20,5001,3,35.0-40.0,0,0
20230922021319,10.0.3.20,42448,10.0.1.20,5001,3,40.0-45.0,0,0
20230922021325,10.0.3.20,42448,10.0.1.20,5001,3,45.0-50.0,0,0
20230922021330,10.0.3.20,42448,10.0.1.20,5001,3,50.0-55.0,0,0
20230922021335,10.0.3.20,42448,10.0.1.20,5001,3,55.0-60.0,0,0
20230922021340,10.0.3.20,42448,10.0.1.20,5001,3,60.0-65.0,0,0
20230922021345,10.0.3.20,42448,10.0.1.20,5001,3,65.0-70.0,0,0
20230922021350,10.0.3.20,42448,10.0.1.20,5001,3,70.0-75.0,0,0
20230922021355,10.0.3.20,42448,10.0.1.20,5001,3,75.0-80.0,0,0
20230922021400,10.0.3.20,42448,10.0.1.20,5001,3,80.0-85.0,0,0
20230922021406,10.0.3.20,42448,10.0.1.20,5001,3,85.0-90.0,0,0
20230922021411,10.0.3.20,42448,10.0.1.20,5001,3,90.0-95.0,0,0
20230922021416,10.0.3.20,42448,10.0.1.20,5001,3,95.0-100.0,0,0
20230922021421,10.0.3.20,42448,10.0.1.20,5001,3,100.0-105.0,0,0
20230922021426,10.0.3.20,42448,10.0.1.20,5001,3,105.0-110.0,0,0
20230922021431,10.0.3.20,42448,10.0.1.20,5001,3,110.0-115.0,0,0
20230922021436,10.0.3.20,42448,10.0.1.20,5001,3,115.0-120.0,0,0
20230922021436,10.0.3.20,42448,10.0.1.20,5001,3,0.0-122.3,250504,16390
