time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922020837,10.0.3.20,56332,10.0.1.20,5001,3,0.0-5.0,199824,319718
20230922020842,10.0.3.20,56332,10.0.1.20,5001,3,5.0-10.0,0,0
20230922020847,10.0.3.20,56332,10.0.1.20,5001,3,10.0-15.0,0,0
20230922020849,10.0.3.20,56332,10.0.1.20,5001,3,15.0-20.0,0,0
20230922020854,10.0.3.20,56332,10.0.1.20,5001,3,20.0-25.0,0,0
20230922020900,10.0.3.20,56332,10.0.1.20,5001,3,25.0-30.0,0,0
20230922020905,10.0.3.20,56332,10.0.1.20,5001,3,30.0-35.0,0,0
20230922020910,10.0.3.20,56332,10.0.1.20,5001,3,35.0-40.0,0,0
20230922020915,10.0.3.20,56332,10.0.1.20,5001,3,40.0-45.0,0,0
20230922020920,10.0.3.20,56332,10.0.1.20,5001,3,45.0-50.0,0,0
20230922020925,10.0.3.20,56332,10.0.1.20,5001,3,50.0-55.0,0,0
20230922020930,10.0.3.20,56332,10.0.1.20,5001,3,55.0-60.0,0,0
20230922020935,10.0.3.20,56332,10.0.1.20,5001,3,60.0-65.0,0,0
20230922020941,10.0.3.20,56332,10.0.1.20,5001,3,65.0-70.0,0,0
20230922020946,10.0.3.20,56332,10.0.1.20,5001,3,70.0-75.0,0,0
20230922020951,10.0.3.20,56332,10.0.1.20,5001,3,75.0-80.0,0,0
20230922020956,10.0.3.20,56332,10.0.1.20,5001,3,80.0-85.0,0,0
20230922021001,10.0.3.20,56332,10.0.1.20,5001,3,85.0-90.0,0,0
20230922021006,10.0.3.20,56332,10.0.1.20,5001,3,90.0-95.0,0,0
20230922021011,10.0.3.20,56332,10.0.1.20,5001,3,95.0-100.0,0,0
20230922021016,10.0.3.20,56332,10.0.1.20,5001,3,100.0-105.0,0,0
20230922021022,10.0.3.20,56332,10.0.1.20,5001,3,105.0-110.0,0,0
20230922021027,10.0.3.20,56332,10.0.1.20,5001,3,110.0-115.0,0,0
20230922021032,10.0.3.20,56332,10.0.1.20,5001,3,115.0-120.0,0,0
20230922021032,10.0.3.20,56332,10.0.1.20,5001,3,0.0-122.5,199824,13049
