time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922012122,10.0.3.20,40962,10.0.1.20,5001,3,0.0-5.0,287047680,459276288
20230922012127,10.0.3.20,40962,10.0.1.20,5001,3,5.0-10.0,279445504,447112806
20230922012132,10.0.3.20,40962,10.0.1.20,5001,3,10.0-15.0,269877248,431803596
20230922012137,10.0.3.20,40962,10.0.1.20,5001,3,15.0-20.0,290979840,465567744
20230922012142,10.0.3.20,40962,10.0.1.20,5001,3,20.0-25.0,289669120,463470592
20230922012147,10.0.3.20,40962,10.0.1.20,5001,3,25.0-30.0,260177920,416284672
20230922012152,10.0.3.20,40962,10.0.1.20,5001,3,30.0-35.0,286654464,458647142
20230922012157,10.0.3.20,40962,10.0.1.20,5001,3,35.0-40.0,291110912,465777459
20230922012202,10.0.3.20,40962,10.0.1.20,5001,3,40.0-45.0,289538048,463260876
20230922012207,10.0.3.20,40962,10.0.1.20,5001,3,45.0-50.0,261095424,417752678
20230922012212,10.0.3.20,40962,10.0.1.20,5001,3,50.0-55.0,289538048,463260876
20230922012217,10.0.3.20,40962,10.0.1.20,5001,3,55.0-60.0,290979840,465567744
20230922012222,10.0.3.20,40962,10.0.1.20,5001,3,60.0-65.0,281673728,450677964
20230922012227,10.0.3.20,40962,10.0.1.20,5001,3,65.0-70.0,272367616,435788185
20230922012232,10.0.3.20,40962,10.0.1.20,5001,3,70.0-75.0,291110912,465777459
20230922012237,10.0.3.20,40962,10.0.1.20,5001,3,75.0-80.0,289538048,463260876
20230922012242,10.0.3.20,40962,10.0.1.20,5001,3,80.0-85.0,271974400,435159040
20230922012247,10.0.3.20,40962,10.0.1.20,5001,3,85.0-90.0,282460160,451936256
20230922012252,10.0.3.20,40962,10.0.1.20,5001,3,90.0-95.0,290979840,465567744
20230922012257,10.0.3.20,40962,10.0.1.20,5001,3,95.0-100.0,289538048,463260876
20230922012302,10.0.3.20,40962,10.0.1.20,5001,3,100.0-105.0,265027584,424044134
20230922012307,10.0.3.20,40962,10.0.1.20,5001,3,105.0-110.0,289538048,463260876
20230922012312,10.0.3.20,40962,10.0.1.20,5001,3,110.0-115.0,289669120,463470592
20230922012317,10.0.3.20,40962,10.0.1.20,5001,3,115.0-120.0,290979840,465567744
20230922012317,10.0.3.20,40962,10.0.1.20,5001,3,0.0-120.0,6790971392,452697436
