time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922015824,10.0.3.20,37842,10.0.1.20,5001,3,0.0-5.0,142868480,228589568
20230922015829,10.0.3.20,37842,10.0.1.20,5001,3,5.0-10.0,135004160,216006656
20230922015834,10.0.3.20,37842,10.0.1.20,5001,3,10.0-15.0,131858432,210973491
20230922015839,10.0.3.20,37842,10.0.1.20,5001,3,15.0-20.0,135135232,216216371
20230922015844,10.0.3.20,37842,10.0.1.20,5001,3,20.0-25.0,133431296,213490073
20230922015849,10.0.3.20,37842,10.0.1.20,5001,3,25.0-30.0,135004160,216006656
20230922015854,10.0.3.20,37842,10.0.1.20,5001,3,30.0-35.0,135135232,216216371
20230922015859,10.0.3.20,37842,10.0.1.20,5001,3,35.0-40.0,134873088,215796940
20230922015904,10.0.3.20,37842,10.0.1.20,5001,3,40.0-45.0,134873088,215796940
20230922015909,10.0.3.20,37842,10.0.1.20,5001,3,45.0-50.0,133431296,213490073
20230922015914,10.0.3.20,37842,10.0.1.20,5001,3,50.0-55.0,134742016,215587225
20230922015919,10.0.3.20,37842,10.0.1.20,5001,3,55.0-60.0,133300224,213280358
20230922015924,10.0.3.20,37842,10.0.1.20,5001,3,60.0-65.0,135397376,216635801
20230922015929,10.0.3.20,37842,10.0.1.20,5001,3,65.0-70.0,134742016,215587225
20230922015934,10.0.3.20,37842,10.0.1.20,5001,3,70.0-75.0,134742016,215587225
20230922015939,10.0.3.20,37842,10.0.1.20,5001,3,75.0-80.0,134873088,215796940
20230922015944,10.0.3.20,37842,10.0.1.20,5001,3,80.0-85.0,133300224,213280358
20230922015949,10.0.3.20,37842,10.0.1.20,5001,3,85.0-90.0,134742016,215587225
20230922015954,10.0.3.20,37842,10.0.1.20,5001,3,90.0-95.0,133300224,213280358
20230922015959,10.0.3.20,37842,10.0.1.20,5001,3,95.0-100.0,136183808,217894092
20230922020004,10.0.3.20,37842,10.0.1.20,5001,3,100.0-105.0,136183808,217894092
20230922020009,10.0.3.20,37842,10.0.1.20,5001,3,105.0-110.0,132382720,211812352
20230922020014,10.0.3.20,37842,10.0.1.20,5001,3,110.0-115.0,134742016,215587225
20230922020019,10.0.3.20,37842,10.0.1.20,5001,3,115.0-120.0,133693440,213909504
20230922020019,10.0.3.20,37842,10.0.1.20,5001,3,0.0-120.0,3233939456,215550193
