time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922012324,10.0.3.20,33110,10.0.1.20,5001,3,0.0-5.0,227336,363737
20230922012329,10.0.3.20,33110,10.0.1.20,5001,3,5.0-10.0,8688,13900
20230922012335,10.0.3.20,33110,10.0.1.20,5001,3,10.0-15.0,0,0
20230922012340,10.0.3.20,33110,10.0.1.20,5001,3,15.0-20.0,0,0
20230922012345,10.0.3.20,33110,10.0.1.20,5001,3,20.0-25.0,0,0
20230922012350,10.0.3.20,33110,10.0.1.20,5001,3,25.0-30.0,0,0
20230922012355,10.0.3.20,33110,10.0.1.20,5001,3,30.0-35.0,0,0
20230922012400,10.0.3.20,33110,10.0.1.20,5001,3,35.0-40.0,0,0
20230922012405,10.0.3.20,33110,10.0.1.20,5001,3,40.0-45.0,0,0
20230922012410,10.0.3.20,33110,10.0.1.20,5001,3,45.0-50.0,0,0
20230922012415,10.0.3.20,33110,10.0.1.20,5001,3,50.0-55.0,0,0
20230922012421,10.0.3.20,33110,10.0.1.20,5001,3,55.0-60.0,0,0
20230922012426,10.0.3.20,33110,10.0.1.20,5001,3,60.0-65.0,0,0
20230922012431,10.0.3.20,33110,10.0.1.20,5001,3,65.0-70.0,0,0
20230922012433,10.0.3.20,33110,10.0.1.20,5001,3,70.0-75.0,0,0
20230922012438,10.0.3.20,33110,10.0.1.20,5001,3,75.0-80.0,0,0
20230922012444,10.0.3.20,33110,10.0.1.20,5001,3,80.0-85.0,0,0
20230922012449,10.0.3.20,33110,10.0.1.20,5001,3,85.0-90.0,0,0
20230922012454,10.0.3.20,33110,10.0.1.20,5001,3,90.0-95.0,0,0
20230922012459,10.0.3.20,33110,10.0.1.20,5001,3,95.0-100.0,0,0
20230922012504,10.0.3.20,33110,10.0.1.20,5001,3,100.0-105.0,0,0
20230922012509,10.0.3.20,33110,10.0.1.20,5001,3,105.0-110.0,0,0
20230922012514,10.0.3.20,33110,10.0.1.20,5001,3,110.0-115.0,0,0
20230922012519,10.0.3.20,33110,10.0.1.20,5001,3,115.0-120.0,0,0
20230922012519,10.0.3.20,33110,10.0.1.20,5001,3,0.0-121.1,236024,15590
