time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922013129,10.0.3.20,38532,10.0.1.20,5001,3,0.0-5.0,128872,206195
20230922013135,10.0.3.20,38532,10.0.1.20,5001,3,5.0-10.0,60816,97305
20230922013140,10.0.3.20,38532,10.0.1.20,5001,3,10.0-15.0,1448,2316
20230922013145,10.0.3.20,38532,10.0.1.20,5001,3,15.0-20.0,0,0
20230922013150,10.0.3.20,38532,10.0.1.20,5001,3,20.0-25.0,0,0
20230922013155,10.0.3.20,38532,10.0.1.20,5001,3,25.0-30.0,0,0
20230922013200,10.0.3.20,38532,10.0.1.20,5001,3,30.0-35.0,0,0
20230922013205,10.0.3.20,38532,10.0.1.20,5001,3,35.0-40.0,0,0
20230922013210,10.0.3.20,38532,10.0.1.20,5001,3,40.0-45.0,0,0
20230922013215,10.0.3.20,38532,10.0.1.20,5001,3,45.0-50.0,0,0
20230922013221,10.0.3.20,38532,10.0.1.20,5001,3,50.0-55.0,0,0
20230922013226,10.0.3.20,38532,10.0.1.20,5001,3,55.0-60.0,0,0
20230922013231,10.0.3.20,38532,10.0.1.20,5001,3,60.0-65.0,0,0
20230922013236,10.0.3.20,38532,10.0.1.20,5001,3,65.0-70.0,0,0
20230922013241,10.0.3.20,38532,10.0.1.20,5001,3,70.0-75.0,0,0
20230922013246,10.0.3.20,38532,10.0.1.20,5001,3,75.0-80.0,0,0
20230922013251,10.0.3.20,38532,10.0.1.20,5001,3,80.0-85.0,0,0
20230922013256,10.0.3.20,38532,10.0.1.20,5001,3,85.0-90.0,0,0
20230922013302,10.0.3.20,38532,10.0.1.20,5001,3,90.0-95.0,0,0
20230922013307,10.0.3.20,38532,10.0.1.20,5001,3,95.0-100.0,0,0
20230922013309,10.0.3.20,38532,10.0.1.20,5001,3,100.0-105.0,0,0
20230922013314,10.0.3.20,38532,10.0.1.20,5001,3,105.0-110.0,0,0
20230922013319,10.0.3.20,38532,10.0.1.20,5001,3,110.0-115.0,0,0
20230922013325,10.0.3.20,38532,10.0.1.20,5001,3,115.0-120.0,0,0
20230922013325,10.0.3.20,38532,10.0.1.20,5001,3,0.0-120.4,191136,12697
