time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922022651,10.0.3.20,59350,10.0.1.20,5001,3,0.0-5.0,282722304,452355686
20230922022656,10.0.3.20,59350,10.0.1.20,5001,3,5.0-10.0,291110912,465777459
20230922022701,10.0.3.20,59350,10.0.1.20,5001,3,10.0-15.0,290979840,465567744
20230922022706,10.0.3.20,59350,10.0.1.20,5001,3,15.0-20.0,290193408,464309452
20230922022711,10.0.3.20,59350,10.0.1.20,5001,3,20.0-25.0,290979840,465567744
20230922022716,10.0.3.20,59350,10.0.1.20,5001,3,25.0-30.0,289275904,462841446
20230922022721,10.0.3.20,59350,10.0.1.20,5001,3,30.0-35.0,290979840,465567744
20230922022726,10.0.3.20,59350,10.0.1.20,5001,3,35.0-40.0,289538048,463260876
20230922022731,10.0.3.20,59350,10.0.1.20,5001,3,40.0-45.0,291373056,466196889
20230922022736,10.0.3.20,59350,10.0.1.20,5001,3,45.0-50.0,290062336,464099737
20230922022741,10.0.3.20,59350,10.0.1.20,5001,3,50.0-55.0,289669120,463470592
20230922022746,10.0.3.20,59350,10.0.1.20,5001,3,55.0-60.0,290979840,465567744
20230922022751,10.0.3.20,59350,10.0.1.20,5001,3,60.0-65.0,290979840,465567744
20230922022756,10.0.3.20,59350,10.0.1.20,5001,3,65.0-70.0,290062336,464099737
20230922022801,10.0.3.20,59350,10.0.1.20,5001,3,70.0-75.0,289275904,462841446
20230922022806,10.0.3.20,59350,10.0.1.20,5001,3,75.0-80.0,291110912,465777459
20230922022811,10.0.3.20,59350,10.0.1.20,5001,3,80.0-85.0,289538048,463260876
20230922022816,10.0.3.20,59350,10.0.1.20,5001,3,85.0-90.0,290324480,464519168
20230922022821,10.0.3.20,59350,10.0.1.20,5001,3,90.0-95.0,290979840,465567744
20230922022826,10.0.3.20,59350,10.0.1.20,5001,3,95.0-100.0,289800192,463680307
20230922022831,10.0.3.20,59350,10.0.1.20,5001,3,100.0-105.0,290979840,465567744
20230922022836,10.0.3.20,59350,10.0.1.20,5001,3,105.0-110.0,290979840,465567744
20230922022841,10.0.3.20,59350,10.0.1.20,5001,3,110.0-115.0,289275904,462841446
20230922022846,10.0.3.20,59350,10.0.1.20,5001,3,115.0-120.0,290979840,465567744
20230922022846,10.0.3.20,59350,10.0.1.20,5001,3,0.0-120.0,6962151424,464079868
